feature,coefficient
Cells_RadialDistribution_ZernikePhase_GFP_8_2,0.016539260694532515
Nuclei_RadialDistribution_FracAtD_RFP_1of4,0.15340020198938278
Nuclei_Correlation_Overlap_CY5_RFP,-0.036991776685358795
Cytoplasm_RadialDistribution_ZernikePhase_CY5_9_7,0.04109119258721681
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_8_4,-0.03199123640615648
Cytoplasm_RadialDistribution_ZernikePhase_CY5_3_3,0.06354465002984042
Cytoplasm_RadialDistribution_ZernikePhase_CY5_5_5,-0.052473766724537144
Nuclei_AreaShape_Zernike_8_0,0.09462047136193208
Nuclei_RadialDistribution_FracAtD_RFP_2of4,-0.42035775106222517
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_7_5,-0.018146144740209036
Cytoplasm_RadialDistribution_RadialCV_RFP_3of4,-0.05347551307373478
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_4_0,0.18716447336765918
Cytoplasm_RadialDistribution_ZernikePhase_DAPI_5_5,0.015384959956242618
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_7_1,-0.04804148214157577
Cytoplasm_Correlation_Overlap_DAPI_GFP,-0.11078985549616892
Nuclei_RadialDistribution_ZernikeMagnitude_RFP_9_7,0.06422483543514404
Nuclei_RadialDistribution_ZernikePhase_CY5_9_5,-0.0023355271855709406
Cytoplasm_RadialDistribution_RadialCV_RFP_2of4,0.10711514036317815
Nuclei_AreaShape_Zernike_7_1,-0.07478038300426654
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_8_8,-0.06121658261402498
Cytoplasm_RadialDistribution_ZernikeMagnitude_RFP_2_0,0.6267982016916381
Cells_RadialDistribution_ZernikePhase_RFP_9_1,-0.02744988136535166
Cytoplasm_RadialDistribution_ZernikePhase_CY5_7_1,0.026872535334543677
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_8_2,0.0013046558959095107
Cytoplasm_RadialDistribution_ZernikePhase_RFP_6_2,0.01857438443299997
Cells_Texture_InfoMeas1_DAPI_3_01_256,0.04500340424219431
Cells_RadialDistribution_ZernikePhase_DAPI_6_4,-0.00426989019892847
Cells_RadialDistribution_RadialCV_DAPI_1of4,-0.02344693137331688
Cells_RadialDistribution_ZernikePhase_RFP_1_1,-0.06331850949719414
