feature,coefficient_orig_model,coefficient_new_model
Cells_RadialDistribution_MeanFrac_GFP_1of4,-0.23931341736024128,-0.3984001725785403
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_7_5,-0.0180704280756079,-0.024750219483722347
Nuclei_Texture_InfoMeas1_RFP_3_03_256,0.6387506641041313,0.3285366294454899
Nuclei_RadialDistribution_ZernikePhase_CY5_9_3,0.016040113437569458,0.04028126649332032
Nuclei_RadialDistribution_ZernikePhase_DAPI_2_2,-0.030772335253053076,-0.014851603117329904
Cytoplasm_RadialDistribution_MeanFrac_DAPI_4of4,-0.8260360070330346,-0.5482302247040856
Cytoplasm_AreaShape_Zernike_6_2,-0.01950913912663749,0.058241314690631894
Nuclei_RadialDistribution_ZernikePhase_RFP_6_2,-0.022405975589461474,-0.0248363852973511
Cells_AreaShape_Zernike_8_4,-0.010527164668978127,-0.051992906020253
Cells_RadialDistribution_ZernikeMagnitude_CY5_8_4,-0.09519798967165014,-0.019438530288408085
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_8_6,-0.11453634033382716,-0.04265157956052195
Cells_Correlation_K_GFP_DAPI,-0.15508478427158937,-0.1416422212946909
Nuclei_RadialDistribution_ZernikeMagnitude_DAPI_8_0,-0.021344685319938328,-0.03666906116225803
Nuclei_RadialDistribution_ZernikePhase_DAPI_8_2,-0.03984146065228071,-0.028159456619793032
Cells_AreaShape_Zernike_6_2,-0.07564445616051439,-0.08628378078621436
Nuclei_Texture_Correlation_DAPI_3_01_256,0.5167955910791161,0.34920977789183827
Cytoplasm_Intensity_IntegratedIntensityEdge_CY5,0.9861134169306722,-0.4519273199535564
Cells_AreaShape_Zernike_3_1,0.07457748897900787,0.038489939533299225
Cytoplasm_RadialDistribution_ZernikeMagnitude_GFP_5_3,0.013997535446801445,-0.018005736728251037
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_8_4,0.11741247481239632,0.21348986819282836
Cytoplasm_Texture_Contrast_GFP_3_02_256,0.36939302644510436,0.06574465053255908
Cells_RadialDistribution_ZernikeMagnitude_GFP_6_2,-0.3341904403622999,-0.28445252767510876
Cells_RadialDistribution_ZernikeMagnitude_RFP_8_0,-0.06976318503684027,-0.060652816798051595
Cytoplasm_AreaShape_Zernike_3_1,0.014923259144780484,0.014333701373003573
Nuclei_AreaShape_Zernike_8_2,-0.0435762180270072,0.005783744194011575
Cytoplasm_RadialDistribution_ZernikeMagnitude_DAPI_6_0,0.04762140500076284,0.06572369061536011
Cytoplasm_RadialDistribution_ZernikePhase_CY5_9_5,0.026927446753511657,0.007513114795859177
Nuclei_RadialDistribution_ZernikeMagnitude_CY5_9_1,-0.023401005878397652,-0.053530614773633474
Nuclei_RadialDistribution_ZernikePhase_GFP_7_5,-0.035663667567484944,-0.037531877832414726
Cytoplasm_Intensity_MADIntensity_CY5,0.04817948317814029,0.2216424089266899
Nuclei_AreaShape_MajorAxisLength,0.4243680967724298,0.8739159910668562
Nuclei_RadialDistribution_ZernikeMagnitude_GFP_4_0,-0.15599535466052872,-0.12612883240494474
Nuclei_RadialDistribution_ZernikePhase_RFP_9_1,-0.005489373104600104,-0.006159682649117401
Cytoplasm_RadialDistribution_ZernikePhase_GFP_3_1,0.04009949796465849,0.05765838010349199
Cytoplasm_AreaShape_Zernike_7_3,0.0907669373672521,0.07263371600030805
